CODICE,AUTORE,TITOLO,CASA EDITRICE,GENERE/COLLOCAZIONE,LINGUA,ANNO EDIZIONE,;
2805,autori vari,scripta; nuove voci della letteratura salentina,liberars edizioni,poesie/aforismi/albi illustrati,italiano,1997,;
2806,franco lucentini (introduzione di),il vangelo secondo luca,edizione mondolibri,filosofia e religioni,italiano,1999,;
2807,marco ferrini,leadership del benessere,centro study bhaktivedanta,manuale,italiano,2005,;
2808,enrico beruschi,simpaticherie,pafpo,umoristico e fumetti,italiano,1997,;
2809,claudio casini,beethoven e la liberta' nella musica,edizioni cremonese,arte e cultura del territorio,italiano,1976,;
2810,maria de la fuente,schliemann e la nuova archeologia,edizioni cremonese,arte e cultura del territorio,italiano,1973,;
2811,domenico sergi,metternich e la diplomazia moderna,edizioni cremonese,saggi e inchieste,italiano,1973,;
2812,tahar ben jelloun,il razzismo spiegato a mia figlia,bompiani,letteratura d'inchiesta,italiano,1999,;
2813,tullio tentori ,il pregiudizio sociale ,universale studium ,saggi e inchieste,italiano,1962,;
2814,grazio gianfreda,i beati 800 martiri di otranto,edizioni del grifo,belle arti/cultura locale,italiano,1996,;
2815,vann woodward,la strana carriera di jim crow,sansoni,saggi e inchieste,italiano,1970,;
2816,j. steinberg,il deterrente di ieri,sansoni editore,saggio storico,italiano,1968,;
2817,rock potre,l'aeronautica militare italiana nell'ex congo belga,tipi grafici della agran,biografia,italiano,1969,;
2818,alessandro laporta,saggi di storia del libro,edizioni del grifo,saggio,italiano,1994,;
2819,giunio rizzelli ,le donne nell'esperienza giuridica di roma antica,edizioni del grifo,saggi e inchieste,italiano,2000,;
2820,autori vari,che cos'e' l'unesco,giunti,manuale,italiano,1994,;
2821,giorgio silvini,islam e occidente nel dramma del sudan,edizioni del grifo,letteratura d'inchiesta,italiano,1994,;
2822,ferdinando camon,storia di sirio,garzanti ,romanzo,italiano,1984,;
2823,bill naughton,alfie ,bompiani,romanzo,italiano,1966,;
2824,d.h. lawrence ,l'amante di lady chatterley,demetra,classico,italiano,1993,;
2825,paul watzlawick,istruzioni per rendersi infelice,universale economica feltrinelli,romanzo,italiano,2000,;
2826,alessandro cosi,poesia e musica nella commedia di dante,edizioni del grifo,arte e cultura del territorio,italiano,1996,;
2827,autori vari,prima rassegna salentina d'arte figurativa,edizioni del grifo,belle arti/cultura locale,italiano,1991,;
2828,corinna sargood,in bicicletta alla scoperta del salento,congedo editore,arte e cultura del territorio,italiano,1993,;
2829,tonino brizio,lu ridhu parlante(il grillo parlante) ,edizioni del grifo,teatro/cinema/musica,italiano,1991,;
2830,raffaele cuci,in scena il cantico della nostra terra,edizioni del grifo,teatro/cinema/musica,italiano,1992,;
2831,p. giovan battista mancarella,lessico dialettale di tursi,edizioni del grifo,saggio,italiano,1994,;
2832,lino jannuzzi,cosi' parlo' buscetta,sugarco edizioni,letteratura d'inchiesta,italiano,1986,;
2833,grazio gianfreda,il mosaico di otranto,edizioni del grifo,arte e cultura del territorio,italiano,1998,;
2834,maria corti,il canto delle sirene,bompiani,romanzo,italiano,1989,disponbile,;
2835,autori vari,studi linguistici salentini vol. 18 (1990-1991),edizion del grifo,arte e cultura del territorio,italiano,1992,;
2836,pierre huard ming wong,la medicina cinese,il saggiatore,saggio,italiano,1967,;
2837,francesco rausa,parola ,edizioni del grifo,poesia,italiano,2000,;
2838,vittorino stanzial,una scuola diversa,edizioni del cerro,saggi e inchieste,italiano,1985,;
2839,raffaele micciolo,il pensiero pedagogico di alessandro manzoni,edizioni del grifo,saggio,italiano,1999,;
2840,ammiraglio bruno brivonesi,mare e cielo ricordi e nostalgie,mediterranee,biografia,italiano,1968,;
2841,enzo filomena franco sciannameo,s. vito dei normanni in divisa,edizioni del grifo ,saggio,italiano,1991,;
2842,richard bach,illusioni,rizzoli,romanzo,italiano,1990,;
2843,m. de marco m. t. ingrosso,tonio de dominicis,edizioni del grifo,arte e cultura del territorio,italiano,1999,;
2844,franco lupo,ge'nte bo'na,editrice salentina,romanzo,italiano/dialettale,1980,;
2845,antonio fogazzaro,piccolo mondo antico,la scuola,classico,italiano,1970,;
2846,gianfranco giardella ciro robotti,il castello di carlo quinto ,edizioni del grifo,saggio,italiano,2000,;
2847,paul nizan ,la cospirazione,mondadori,romanzo,italiano,1973,;
2848,erskine caldwell,ragazzo di sycamore,mondadori,romanzo,italiano,1973,;
2849,anonimo,alice: i giorni della droga,feltrineli,romanzo,italiano,1977,;
2850,pasquale festa campanile,la strega innamorata,bompiani,romanzo,italiano,1985,;
2851,dante graziosi,storie di brava gente,rusconi,romanzo,italiano,1982,;
2852,adriana notte,un padre una figlia,bastogi,saggio,italiano,1994,;
2853,autori vari,studi linguistici salentini vol. 20 (1993-1994),edizioni del grifo,arte e cultura del territorio,italiano,1994,;
2854,p. giovan battista mancarella,versioni bibliche in antico francese,edizioni del grifo,letteratura in lingua straniera,francese,1995,;
2855,autori vari,miscellanea storica salentina giovanni cingolani numero 3,edizioni del grifo,arte e cultura del territorio,italiano,1994,;
2856,francesco can. d'elia,impressioni di un viaggio a costantinopoli nel 1889,edizioni del grifo,storia e geografia,italiano,1999,;
2857,lorenzo calogiuri,implacabile amore,editrice salentina,poesia,italiano,1972,;
2858,giovanni presta,opere volume 1,edizioni del grifo,arte e cultura del territorio,italiano,1988,;
2859,pietro siciliani,fra vescovo cardinali,edizioni del grifo,saggio,italiano,1988,;
2860,vittorio zacchino,i casaranesi,edizioni del grifo,arte e cultura del territorio,italiano,1991,;
2861,roberto battaglia giuseppe garritano,la resistenza italiana,l'unita' editori riuniti,storia,italiano,1973,;
2862,pietro pellizzari,fiabe e canzoni popolari del contado di maglie in terra d'otranto,edizioni del grifo,letteratura d'inchiesta,italiano,1989,;
2863,kenneth wollitz,manuale del flauto dolce,longanesi&co ,manuale,italiano,1996,;
2864,francesco bove,la societa' operaia nella storia di nardo',edizioni del grifo,storia,italiano,1989,;
2865,aldo gabrielli,dizionario dei capolavori,ultra,enciclopedia,italiano,1948,;
2866,autori vari,sequela christi,edizioni del grifo,filosofia e religioni,italiano,1997,;
2867,giuliana pisanello,si vive solo il tempo in cui si ama,libellula,romanzo,italiano,2013,;
2868,autori vari,studi linguistici salentini vol. 21 (1995),edizioni del grifo,arte e cultura del territorio,italiano,1996,;
2869,autori vari,rapporto conclusivo,giunti,saggio,italiano,1973,;
2870,autori vari,il cinema di chantal akerman,dino audino editore,arte/musica/teatro,italiano,1997,;
2871,elena faber,annibale e l'oriente contro l'occidente,edizioni cremonese,saggio storico,italiano,1974,;
2872,maria de la fuente,toro seduto e il genocidio dei pellerossa,edizioni cremonese,saggio storico,italiano,1974,;
2873,raffaele polo,una breve storia,edizioni del grifo,romanzo,italiano,1991,;
2874,emilio de simone,pasquale manni l'ecclettico naturalista salentino,edizioni del grifo,biografia,italiano,1999,;
2875,giovanni de blasi,san donato vicende storiche di un paese del salento,edizioni del grifo,letteratura d'inchiesta,italiano,1994,;
2876,dionigi gioia,stabbiti citti..! ca mo' bbi contu..,edizioni del grifo,arte/musica/teatro,italiano,1997,;
2877,autori vari,il parlamento europeo,editori vari,manuale,italiano,1977,;
2878,autori vari,monteiasi: il culto del santissimo crocifisso tra storia e devozione popolare,edizioni del grifo,belle arti/cultura locale,italiano,1999,;
2879,luciano aguzzi,un liceo un luogo di lotta,emme edizioni,saggi e inchieste,italiano,1976,;
2880,rudy brown,chitarristi al volo,doc studio,arte/musica/teatro,italiano,1994,;
2881,autori vari,studi linguistici salentini vol. 23 (1997-1998),edizioni del grifo,arte e cultura del territorio,italiano,1999,;
2882,maria teresa la porta,su alcune epigrafi messapiche di recente scoperta,edizioni del grifo,letteratura d'inchiesta,italiano,1999,;
2883,gerardo giocoli nacci,che fine ha fatto la costola di adamo,edizioni del grifo,filosofia e religioni,italiano,1999,;
2884,antonio monte,acaya,edizioni del grifo,belle arti/cultura locale,italiano,1996,;
2885,graziano gianfreda,basilica bizantina di s. pietro in otranto storia e arte,edizioni del grifo,belle arti/cultura locale,italiano,1997,;
2886,milena serafino,la mia grande vttoria,edizioni del grifo,romanzo,italiano,1997,;
2887,autori vari,le lotte dei disoccupati,edizioni operaie,saggio storico,italiano,1976,;
2888,giandomenico casalino,il sacro e il diritto,edizioni del grifo,saggi e inchieste,italiano,2000,;
2889,gerardo giocoli nacci,nove mesi nella storia e nella leggenza,edizioni del grifo,saggi e inchieste,italiano,1998,;
2890,chestertonil ,il candore di padre brown,f.lli fabbri editore,romanzo,italiano,1968,;
2891,tecla merlo,una testimonianza viva,edizioni paoline,filosofia e religioni,italiano,1988,;
2892,maria bellonci ,segreti dei gonzaga,mondadori,romanzo storico,italiano,1988,;
2893,autori vari,kursbuch l'opposizione extraparlamentare,mondadori,saggio storico,italiano,1969,;
2894,michele resta,un carabiniere a cefalonia,edizioni del grifo,saggio storico,italiano,1995,;
2895,salvatore imperiale,il mondo perduto,edizioni del grifo,saggio,italiano,1992,;
2896,andrea valentini,prima che la sua bellezza sia fuggitiva,edizioni del grifo,romanzo,italiano,1999,;
2897,ennio de simone,cholera morbus,edizioni del grifo,saggio,italiano,1994,;
2898,a. tarantino m.l. tarantino,eutanasia e diritto alla vita,edizioni del grifo,saggi e inchieste,italiano,1994,;
2899,donato granafei,meccanica animale ,edizioni del grifo,antologia/letteratura d'inchiesta,italiano,1993,;
2900,vittorio aymone,oronzo massari ,grifo periodici,biografia,italiano,2000,;
2901,giuseppe pisanelli,sulla pena di morte,edizioni del grifo,saggio,italiano,1990,;
2902,antonio castellano,studi bitontini n. 11,stampa propaganda,arte e cultura del territorio,italiano,1973,;
2903,autori vari,miscellanea storica salentina giovanni cingolani numero 4,edizioni del grifo,arte e cultura del territorio,italiano,1995,;
2904,f.lli grimm,hansel e gretel,albi fantasia,classici per ragazzi,italiano,1990,;
2905,augusto carloni,titina de filippo vita di una donna di teatro,rusconi,biografia,italiano,1984,;
2906,j. joyse,gente di dublino,biblioteca economica newton,classico,italiano,1997,;
2907,alfredo sanasi,lecce romana,edizioni del grifo,arte e cultura del territorio,italiano,1991,;
2908,a. corrado morciano,il carisma del santuario della madonna di leuca,edizioni del grifo,saggio,italiano,2000,;
2909,michele mainardi,la malaria nel salento,edizioni del grifo,antologia/critica letteraria,italiano,1998,;
2910,michele mainardi,la questione demaniale in terra d'otranto,edizioni del grifo,antologia/critica letteraria,italiano,1998,;
2911,nicola cavallo,riflessioni di varia umanita',edizioni del grifo,saggio,italiano,1996,;
2912,a. s. elia,catalogo degli artisti e di alcune categorie di artigiani di trepuzzi vol. 1,edizioni del grifo,arte e cultura del territorio,italiano,1997,;
2913,giuseppe pisanelli,sulla pena di morte,edizioni del grifo,saggio,italiano,1989,;
2914,giorgio abraham,i segreti del nostro corpo,mondadori,saggio,italiano,1999,;
2915,autori vari,lu lampiune,edizioni del grifo,antologia/critica letteraria,italiano,1994,;
2916,autori vari,trent'anni di belle canzoni the beatles,redwood books,teatro/cinema/musica,italiano,1994,;
2917,autori vari,trent'anni di belle canzoni the beatles,redwood books,teatro/cinema/musica,italiano,1994,;
2918,farid chenoune,brioni  memorie della moda,octavo cantini editore,biografia,italiano,1998,;
2919,l. nardi,kierkegaard e il cristianesimo tragico,edizioni cremonese roma,filosofia e religioni,italiano,1976,;
2920,vincent houghton ken richardson,perche' l'educazione ricorrente,emme edizioni,saggio,italiano,1974,;
2921,coppola greco sozzi,ostuni 1,edizioni del grifo,arte e cultura del territorio,italiano,1990,;
2922,autori vari,lu lampiune,edizioni del grifo,antologia/critica letteraria,italiano,1993,;
2923,pasquale cafaro,confitebor tibi domine,edizioni del grifo,arte/musica/teatro,italiano,1991,;
2924,michele mainardi,feste degli alberi,edizioni del grifo,manuale,italiano,1997,;
2925,jane fonda ,il mio libro di ginnastica,mondadori,manuale,italiano,1981,;
2926,giuseppe scortecci,ingegneria divertente,u.t.e.t,antologia/critica letteraria,italiano,1955,;
2927,yves naud,ufo e extraterrestri vol 1,edizioni ferni,antologia/critica letteraria,italiano,1977,;
2928,yves naud,ufo e extraterrestri vol 2,edizioni ferni,antologia/critica letteraria,italiano,1977,;
2929,erich fromm,avere o essere,mondadori,saggio,italiano,1983,;
2930,p. g. wodehouse,psmith in banca,bietti,romanzo,italiano,1966,;
2931,p. g. wodehouse,le zie non sono gentiluomini,mondadori,romanzo,italiano,1974,;
2932,p. g. wodehouse,gas esilarante,oscar mpndadoro,romanzo,italiano,1971,;
2933,hermann hesse,siddharta,adelphi,romanzo,italiano,1984,;
2934,edmondo de amicis,cuore,garzanti,classico,italiano,1962,;
2935,a cura di brian kolodiejhuck,madre teresa sii la mia luce,edizioni mondolibri,biografia,italiano,2007,;
2936,jean paul sartre,la nausea,club degli editori,romanzo,italiano,1988,;
2937,autori vari,gibran kahlil ,euroclub,poesie/aforismi/albi illustrati,italiano/inglese,1983,;
2938,gloria polo,sono stata alle porte del cielo e dell'inferno,edizioni segno,filosofia e religioni,italiano,2008,;
2939,autori vari,astronomia,atlanti universali oggi,manuale,italiano,1993,;
2940,jose corredor-matheos daniel giralt miracle,la pittura oggi,deagostini,arte e cultura del territorio,italiano,1984,;
2941,luigi balis crema antonio castellana ,l'esplorazione dello spazio,tascabili economici newton,saggio,italiano,1997,;
2942,autori vari,la costituzione italiana,mondadori,manuale,italiano,2008,;
2943,autori vari,il paesaggio da cezanne a mondrian,mondadori,arte e cultura del territorio,italiano,1999,;
2944,autori vari,giuseppe viola,mondadori,arte e cultura del territorio,italiano,1999,;
2945,autori vari,profondo rosa segni particolari di donna,mondadori,arte e cultura del territorio,italiano,2006,;
2946,autori vari,andy warhol,mondadori,arte e cultura del territorio,italiano,2000,;
2947,autori vari,vasilij kandinskij,mondadori,arte e cultura del territorio,italiano,2000,;
2948,autori vari,marc chagall,mondadori,arte e cultura del territorio,italiano,2001,;
2949,autori vari,cezanne a firenze,mondadori,arte e cultura del territorio,italiano,2007,;
2950,autori vari,caravaggio a roma,silvana,arte e cultura del territorio,italiano,2017,;
2951,geno pampaloni,la nuova ruralita' ,calderini,saggio,italiano,1988,;
2952,autori vari,il settimo splendore,mondadori,arte e cultura del territorio,italiano,2007,;
2953,autori vari,vincent van gogh,mondadori,arte e cultura del territorio,italiano,2000,;
2954,giuliana pisanello,cioccolatini incartati,piero manni,poesia,italiano,1995,;
2955,enzo ruffaldi ubaldo nicola,pensare la costituzione,loescher,saggi e inchieste,italiano,2009,;
2956,piero paolicchi,il fattore ,felici editore,saggi e inchieste,italiano,2006,;
2957,eduardo scarpetta,il grande teatro di eduardo de filippo,fabbri editore,arte/musica/teatro,italiano,2003,;
2958,guido vitali,cantano i miti,paravia,saggi e inchieste,italiano,1953,;
2959,pierre berloquin,misurate la vostra intelligenza,mondadori,manuale,italiano,1974,;
2960,fermo roggiani,storia dei bersaglieri d'italia,cavallotti editori ,saggio storico,italiano,1973,;
2961,autori vari,catalogo generale lev,libreria editrice vaticana,arte e cultura del territorio,italiano,2013,;
2962,autori vari,studi salentini,edizioni milella,letteratura d'inchiesta,italiano,2001,;
2963,michele paone (a cura di),lecce citta' chiesa,congedo editore,arte e cultura del territorio,italiano,1974,;
2964,sydne rome,restar giovani come fare,arnolodo monndadori editore,manuale,italiano,1991,;
2965,autori vari,viaggiare bene in italia,mondadori,manuale,italiano,1995,;
2966,a. l . giannone, vincenzo ampolo tra politica e letteratura,edipan,antologia/critica letteraria,italiano,2006,;
2967,domenico pulimeno,ti cerco... io ti cerco,milella,poesia,italiano,1994,;
2968,giovanni colamussi,la lampada sotto il sole,editoriale la zingara,poesia,italiano,1940,;
2969,chara schirosi,... e se ...,edizioni rei,romanzo,italiano,2010,;
2970,autori vari,modigliani,mondadori,arte e cultura del territorio,italiano,1999,;
2971,giovanni colamussi,frugando i cieli,editori laterza,poesia,italiano,1961,;
2972,lina jannuzzi,fabrizio colamussi: i drammi,adriatica editrice salentina,antologia/critica letteraria,italiano,1982,;
2973,fabrizio colamussi,il faro della latinita' ,editore maria gastaldi,teatro/cinema/musica,italiano,1950,;
2974,dario bernazza,o si domina o si e' dominati,ed. messaggerie del libro,scienze sociali,italiano,1979,;
2975,erich fromm,l'arte di amare,il saggiatore,saggio,italiano,1983,;
2976,autori vari,architettura civile le case a corte di morciano di leuca,capone editore,saggio,italiano,1997,;
2977,fabrizio colamussi,l'artide,laterza & polo ,teatro/cinema/musica,italiano,1939,;
2978,marisa forcina,tra invidia e gratitudine: la cura e il conflitto,milella,saggi e inchieste,italiano,2006,;
2979,michel caron,cinquantadue settimane in giardino,l'airone,manuale,italiano,2009,;
2980,lorenzo carlino alessandro laporta,fabrizio colamussi intellettuale europeo,edipan,antologia/critica letteraria,italiano,2009,;
2981,brian m. bendis mark bgaley,l'uomo ragno,repubblica serie oro,umoristico e fumetti,italiano,2001,;
2982,autori vari,fabrizio colamussi letterato e poeta salentino,edizioni milella,antologia/critica letteraria,italiano,2001,;
2983,fabrizio colamussi,la fontana di arethusa,scuola tipografica salesiana,teatro/cinema/musica,italiano,1955,;
2984,lorella ingrosso,catalogo del fondo antico bella biblioteca marcelline,maci editore,manuale,italiano,2004,;
2985,giuliana pisanello,confessioni,mondadori,poesia,italiano,2010,;
2986,giuliana pisanello,scavi,carra editrice,poesia,italiano,1991,;
2987,giuliana pisanello,il tempo e la memoria,martano,poesia,italiano,2010,;
2988,antonio de curtis,a' livella,fausto fiorentino editrice,poesia,italiano,1976,;
2989,giovanni paolo II,alzatevi andiamo,mondadori,filosofia e religioni,italiano,2004,;
2990,sveva casati modignani,rosso corallo,spegling & kupfer editori,romanzo,italiano,2006,;
2991,joannis devoti,institutionum vol 1,salvatoris rosa,religione,latino,1851,;
2992,joannis devoti,institutionum vol 2,salvatoris rosa,religione,latino,1851,;
2993,joannis devoti,istitutionum vol 3,salvatoris rosa,religione,latino,1851,;
2994,joannis devoti,istitutionum vol 3,salvatoris rosa,religione,latino,1851,;
2995,jannis devoti,istitutionum vol 3,salvatoris rosa,religione,latino,1851,;
2996,aldo caputo,vincenzo ampolo tra politica e letteratura,edipan,saggio storico,italiano,2005,;
2997,giuliana pisanello,cioccolatini incartati,piero manni,poesia,italiano,1995,;
2998,autori vari,idraulica ed elettricita',mondadori,manuale,italiano,1986,;
2999,caterina kolosimo,i poteri segreti della mente,mondadori,saggio,italiano,1976,;
3000,giuliana pisanello,il tempo e la parola,martano,poesia,italiano,2010,;
3001,yves naud,ufo e extraterrestri,edizioni ferni,antologia/critica letteraria,italiano,1977,;
3002,autori vari,abc del corpo umano,reader's digest,scienze pure,italiano,1989,;
3003,enzo di martino,la biennale di venezia 1895 1995,mondadori,arte e cultura del territorio,italiano,1995,;
3004,autori vari,tutte le aste piu' importanti del 1991,mondadori,arte e cultura del territorio,italiano,1991,;
3005,paolo peri,tessuti egiziani dall'eta' ellenistica al medioevo,settegiorni editore,arte e cultura del territorio,italiano,2013,;
3006,guy rachet,egitto,euroclub,storia e geografia,italiano,1989,;
3007,giuseppe noschese,bella sempre,club degli editori,manuale,italiano,1994,;
3008,stuart r. kaplan,i tarocchi,mondadori,manuale,italiano,1975,;
3009,john hedgecos,fotografare il paesaggio,euroclub,arte e cultura del territorio,italiano,1990,;
3010,aldo palazzeschi,sorelle materassi,club degli editori,classico,italiano,1961,;
3011,giovanni verga ,i malavoglia,mondadori,classico,italiano,1968,;
3012,bram stoker,dracula,biblioteca econonomica newton,classico,italiano,1996,;
3013,p. pasolini,una vita violenta,garzanti,classico,italiano,1976,;
3014,carlo sgorlon,il patriarca della luna nera,mondadori,romanzo,italiano,1991,;
3015,alistair maclean,addio california,club degli editori,romanzo,italiano,1979,;
3016,carlo castellaneta,anni beati,club degli editori,romanzo,italiano,1979,disponible,;
3017,auretta monesi,turchia,national geografic,geografia,italiano,1982,;
3018,niccolo' ammaniti,io non ho paura,einaudi tascabili,romanzo,italiano,2009,;
3019,george stone ,blizard il tifone bianco,club degli editori,romanzo,italiano,1978,;
3020,george la fountaine richard elman,panico nello stadio taxi driver,club degli editori,romanzo,italiano,1977,;
3021,clive cussler paul kemprecos,oro blu,mondolibri,romanzo,italiano,2003,;
3022,edith wharton,la scogliera ,tascabili economici newton,romanzo,italiano,1995,;
3023,mario tobino,la ladra,mondadori,romanzo,italiano,1984,;
3024,mario tobino,il perduto amore,mondadori,romanzo,italiano,1979,;
3025,sergio bambaren,la rosa di gerico,sperling&kupfer,romanzo,italiano,2005,;
3026,alessandro baricco,seta,universale economica feltrinelli,romanzo,italiano,2009,;
3027,alessandra ripley,rossella ,rizzoli,romanzo,italiano,1991,;
3028,clive cussler paul kemprecos,lo zar degli oceani,mondadori,romanzo,italiano,2004,;
3029,scott turow,lesioni personali,mondadori,romanzo,italiano,2000,;
3030,stieg larsson,la regina dei castelli di carta,edizioni mondolibri,romanzo,italiano,2009,;
3031,clive cussler,atlantide,edizioni mondolibri,romanzo,italiano,2000,;
3032,christian jacq,paneb,edizioni mondolibri,romanzo,italiano,2000,;
3033,otello conoci,insomma una provocazione,seledizioni,romanzo,italiano,1978,;
3034,autori vari,fare bambole,demetra,manuale,italiano,2000,;
3035,mel gilden,beverly hills 90210 - tutti in spiaggia,sperling paperback,narrativa,italiano,1993,;
3036,e. de lys,la tamburina di napoleone,editrice boschi,classici per ragazzi,italiano,1954,;
3037,janet quin - harkin,scambio di cuori,mondadori,narrativa,italiano,1986,;
3038,oscar wilde,il ritratto di dorian gray,piemme junior,bambini e ragazzi,italiano,2005,;
3039,alan temperley,all'ombra del pappagallo nero,piemme junior,bambini e ragazzi,italiano,2000,;
3040,jenny nimmo,charlie bone e la sfera del tempo,piemme junior,bambini e ragazzi,italiano,2005,;
3041,trudi birger,ho sognato la cioccolata per anni,piemme junior,narrativa,italiano,1999,;
3042,pinin carpi,oggi e' un giorno tutto da giocare,piemme,poesia,italiano,2005,;
3043,lino banfi,c'era una volta nonno felice,gremese editore,bambini e ragazzi,italiano,2004,;
3044,sergio bitossi,giovannin della lanterna,juvenilia edizioni scolastiche ,narrativa,italiano,1987,;
3045,john steinbeck,il cavallino rosso,mondadori,bambini e ragazzi,italiano,1974,;
3046,giulio verne,cinque settimane in un pallone,morano editore,narrativa,italiano,1987,;
3047,johanna reiss,la stanza segreta,piemme junior,bambini e ragazzi,italiano,2003,non dkisponibile ,;
3048,prunella bat,milla e sugar c'e' chi nasce strega,piemme junior,bambini e ragazzi,italiano,2005,;
3049,maria pia sorrentino,occhi di topazio,editrice la sorgente,narrativa,italiano,1982,;
3050,silvio gigli,operazione marziolino,lucio pugliese editore,narrativa,italiano,1979,;
3051,angelo rota,i comuni e il barbarossa,la scuola,narrativa,italiano,1974,;
3052,c. dickens,oliver twist,editrice la sorgente,classici per ragazzi,italiano,1973,;
3053,r. l. stevenson,la freccia nera,edizioni paoline,classici per ragazzi,italiano,1967,;
3054,luigi garlando,per questo mi chiamo giovanni,fabbri editore,bambini e ragazzi,italiano,2005,;
3055,m. a. taurino licci,favole infinite,congedo editore,bambini e ragazzi,italiano,1986,;
3056,emily rodda,deltora la porta delle ombre,piemme,bambini e ragazzi,italiano,2005,;
3057,carlo sgorlon ,la carrozza di rame,mondadori,romanzo,italiano,1979,;
3058,mark twain,le avventure di huck finn,frassinelli,bambini e ragazzi,italiano,1939,;
3059,mark twain,le avventure di huckleberry finn,fabbri editore,classico,italiano,1991,;
3060,alberto oliviero anna oliviero ferraris,le eta' della mente,rizzoli,psicologia,italiano,2004,;
3061,bruno bettelheim,il mondo incantato,universale economica feltrinelli,saggio,italiano,2008,;
3062,laura tundo ferente ,il mondo del noi,studium,saggi e inchieste,italiano,2014,;
3063,marisa de moliner,bioetica,san paolo famiglia cristiana,saggio,italiano,2003,;
3064,autori vali,le scienze la matematica e i loro insegnamenti - bimestrale 1989,le monnier,scienze naturali e matematiche,italiano,1989,;
3065,evandro agazzi,le rivoluzioni sientifiche,fondazione boroli,scienze naturali e matematiche,italiano,2008,;
3066,autori vari,dai nuclei ai quark,editrice salentina,scienze naturali e matematiche,italiano,1990,;
3067,e. sassoon c. rapisarda sassoon,managementt dell'ambiente,media economici,scienze naturali e matematiche,italiano,1993,;
3068,robert a. dahl,sull'uguaglianza politica,editori laterza,saggi e inchieste,italiano,2006,;
3069,enzo biagi,cara italia,mondolibri,letteratura d'inchiesta,italiano,1999,;
3070,luca goldoni,cioe',mondadori,letteratura d'inchiesta,italiano,1977,;
3071,annamaria bernardini de pace,mamma non m'ama,sperling & kupfer,saggi e inchieste,italiano,2005,;
3072,annamaria bernardini de pace,calci nel cuore,sperling & kupfer,saggi e inchieste,italiano,2005,;
3073,annamaria bernardini de pace,legati da un soffio,sperling & kupfer,saggi e inchieste,italiano,2002,;
3074,annamaria bernardini de pace,separiamoci insieme,sperling & kupfer,saggi e inchieste,italiano,1996,;
3075,mario proto,il neo-trasformismo italiano,lares edizioni,saggio storico,italiano,2006,;
3076,federico engels,violenza e impero l'europa puo' disarmare?,piero lacaita editore,filosofia e religioni,italiano,2004,;
3077,gerhard oestreich,storia dei diritti umani e delle liberta' fondamentali,editori laterza,saggio storico,italiano,2001,;
3078,anselm grun,la via dell'autostima,san paolo famiglia cristiana,saggio,italiano,2005,;
3079,marco piccinno,dipendenza televisiva e adolescenza,manni,saggio,italiano,2004,;
3080,anna oliviero ferraris,dai figli non si divorzia,rizzoli,saggio,italiano,2004,;
3081,emilio durkheim,la mentalita' tedesca e la guerra,piero lacaita editore,scienze sociali,italiano,2004, non disponibile,;
3082,autori vari,avere cura della propria mente,san paolo famiglia cristiana,saggi e inchieste,italiano,2003,;
3083,pietro magno,quinto ennio,schena editore,antologia/critica letteraria,italiano,1979,;
3084,gino bramieri,io bramieri,de vecchi editore,umoristico e fumetti,italiano,1981,;
3085,luigi malerba,cina cina,piero manni,saggio storico,italiano,1985,;
3086,autori vari,animali volume 1,mondadori,enciclopedia,italiano,2007,;
3087,the'ophile gautier,il capitan fracassa,club degli editori,romanzo,italiano,1962,;
3088,giovanni liuzzi,l'antica chiesa di San Martino,rotary club martina franca,filosofia e religioni,italiano,1997,;
3089,c. greco  n. rucco,li culacchi te papa galeazzu cuntati in dialettu,congedo editore,umoristico e fumetti,italiano,1997,;
3090,nino frassica,terzesimo libro di sani gesualdi,euro club,umoristico e fumetti,italiano,1987,;
3091,gianni gargione,la sali l'ultima?,mondo libri,umoristico e fumetti,italiano,2002,;
3092,susanna agnelli ,ricordati gualeguaychu',mondadori,romanzo,italiano,1982,;
3093,vinicio russo,lele martire per la nonviolenza,ctm,saggi e inchieste,italiano,1988,;
3094,angela perulli,... un soffio la pace...,milella edizioni ,poesia,italiano,1997,;
3095,federico moccia,ho voglia di te,feltrinelli,romanzo,italiano,2006,;
3096,andrea de carlo,di noi tre ,mondadori,romanzo,italiano,1998,;
3097,sergio bambaren,il delfino,spetrling paperback,romanzo,italiano,2012,;
3098,raymond chandler,il lungo addio,feltrinelli,romanzo,italiano,2003,;
3099,alfred e. van vogt,il segreto degli slan,gruppo newton,fantasy,italiano,1994,;
3100,h. rider haggard,la donna eterna,gruppo newton,fantasy,italiano,1994,;
3101,cinzia medaglia,delitti di carta,edisco,giallo/thriller,italiano,2009,;
3102,autori vari,il corpo umano,giunti,bambini e ragazzi,italiano,2007,;
3103,autori vari,stelle e pianeti,giunti,bambini e ragazzi,italiano,2008,;
3104,autori vari,il medioevo,giunti,bambini e ragazzi,italiano,2007,;
3105,giorgio pestelli ,canti del destino studi su brahms,einaudi,arte/musica/spettacolo,italiano,2007,;
3106,gioachino lanotte,cantalo forte,stampa alternativa,arte/musica/spettacolo,italiano,2006,;
3107,giorgio strehler,memorie,le lettere,arte/musica/spettacolo,italiano,2005,;
3108,alda merini,cantico dei vangeli,frassinelli,poesia,italiano,2007,;
3109,silvana crotti,diapason,libroitaliano world,poesia,italiano,2007,;
