CODICE,AUTORE,TITOLO,CASA EDITRICE,GENERE/COLLOCAZIONE,LINGUA,ANNO EDIZIONE,;
136,vasco pratolini,il quartiere,mondadori,classico,italiano,1993,;
137,ben jonson,volpone,sansoni,classico,italiano,1988,;
138,jackie collins,lady boss,bompiani,romanzo,italiano,1992,;
139,alexandra ripley,la signora del sud,rizzoli,romanzo,italiano,1995,;
140,kathleen mcgowan,il vangelo di maria maddalena,piemme,giallo/thriller,italiano,2007,;
141,d.w. buffa,l'imputato,polillo,giallo/thriller,italiano,2007,;
142,peter mc hoy,manuale del giardinaggio,librinet,manuale,italiano,1995,;
143,leonardo sciascia,a ciascuno il suo,mondolibri,classico,italiano,1988,;
144,andrea de carlo,due di due,einaudi,romanzo,italiano,1999,;
145,carlo lucarelli,almost blue,einaudi,giallo/thriller,italiano,1997,;
146,jodi picoult,senza lasciare traccia,corbaccio,romanzo,italiano,2007,;
147,jude deveraux,la duchessa,sperling,romanzo,italiano,1994,;
148,patricia highsmith,acque profonde,euroclub,romanzo,italiano,1988,;
149,barbara taylor bradford,amore lontano,sperling,romanzo,italiano,2002,;
150,isabel allende,la citta' delle bestie,feltrinelli,romanzo,italiano,2003,;
151,thomas cook,profondo nero,euroclub,giallo/thriller,italiano,1990,;
152,warren adler,la guerra dei roses,euroclub,romanzo,italiano,1990,;
153,mary ann evans,nell,euroclub,romanzo,italiano,1995,;
154,sidney sheldon,nulla e' per sempre,sperling,romanzo,italiano,1995,;
155,joanna mc clelland glass,una donna per due,euroclub,romanzo,italiano,1986,;
156,b. grillo,tutto il grillo che conta,feltrinelli,biografia/letteratura d'inchiesta,italiano,2006,;
157,andrea vitali,una finestra vistalago,mondolibri,romanzo,italiano,2003,;
158,chordelos de laclos,le relazioni pericolose,newton compton,romanzo,italiano,2006,;
159,vincenzo muccioli,la mia battaglia contro la droga e l emarginazione e l egoismo,sperling,biografia,italiano,1993,;
160,giobbe covatta,l'incontinente bianco,zelig,umoristico e fumetti,italiano,2002,;
161,marx,il 18 brumaio di luigi bonaparte,lotta comunista,saggio storico,italiano,2010,;
162,corrado augias,inchiesta su gesu,mondadori,religione,italiano,2007,;
163,isaac asimov,il meglio di asimov - volume 1,mondadori,fantasy/avventura/fantascienza,italiano,1992,;
164,isaac asimov,il meglio di asimov - volume 2,mondadori,fantasy/avventura/fantascienza,italiano,1992,;
165,ka-tzetnik,la casa delle bambole,euroclub,romanzo,italiano,1984,;
166,luciana d'aleo,verde smeraldo,marsilio editori,romanzo,italiano,2005,;
167,francesco leonetti,piedi in cerca di cibo,pietro manni,romanzo,italiano,1995,;
168,francesco alberoni,l'amicizia,euroclub,scienze sociali,italiano,1986,;
169,steve sohmer,gli ultimi nove giorni,euroclub,romanzo,italiano,1989,;
170,hugo pratt,cortomaltese,repubblica,umoristico e fumetti,italiano,1998,;
171,isaac b. singer,shosha,longanesi,romanzo,italiano,1978,;
172,edgar allan poe,racconti,deagostini,classico,italiano,1985,;
173,max shulman,a ciascuno il suo fiammifero,garzanti,romanzo,italiano,1964,;
174,w. shakespeare,i capolavori,reverdito editore,classico,italiano,1995,;
175,ennio flaiano,tonio kroger,pietro manni,romanzo,italiano,1989,;
176,carlo lucarelli,misteri d'italia,einaudi,biografia/letteratura d'inchiesta,italiano,2002,;
177,carlo lucarelli,nuovi misteri d'italia,einaudi,biografia/letteratura d'inchiesta,italiano,2004,;
178,ferdinando camon,un altare per la madre,garzanti,romanzo,italiano,1978,;
179,d. defoe,moll flanders,newton compton,classico,italiano,1993,;
180,miguel angel asturias,il signor presidente,feltrinelli,romanzo,italiano,1967,;
181,autori vari,parole d'amore (cinque libri),newton compton,poesie/aforismi/albi illustrati,italiano,1994,;
182,ray bradbury,fahrenheit 451,mondadori,classico,italiano,1989,;
183,andrea giardina,l'uomo romano,laterza,storia e geografia,italiano,2006,;
184,helen van slyke,il cuore ascolta,sperling,romanzo,italiano,1982,;
185,autori vari,selezione della narrativa mondiale - un letto di leoni,reader's digest,romanzo,italiano,1985,;
186,autori vari,selezione della narrativa mondiale - potere e diamanti,reader's digest,romanzo,italiano,1987,;
187,j. london,avventure di mare e di costa,newton compton,classico,italiano,2005,;
188,ezio greggio,presto che e' tardi !,mondadori,umoristico e fumetti,italiano,2009,;
189,n. sparks,le parole che non ti ho detto,frassinelli,romanzo,italiano,2006,;
190,anita pensotti,rachele settant'anni con mussolini nel bene e nel male,bompiani,biografia,italiano,1993,;
191,j. london,i racconti del pacifico e dei mari del sud,newton compton,romanzo,italiano,1987,;
192,m. mazzotta - m.r. savoia,la lettura intelligente,giunti,classici per ragazzi,italiano,1993,;
193,autori vari,esercizi di tedesco,vallardi,scolastico,tedesco,1993,;
194,b. kaye,la stella acabar,gribaudi,romanzo,italiano,2009,;
195,alberto bevilacqua,la grande gio',mondadori,romanzo,italiano,2009,;
196,de crescenzo,cosi' parlo' bella vista,mondadori,romanzo,italiano,1992,;
197,john grisham,l'avvocato di strada,mondadori,giallo/thriller,italiano,1992,;
198,andrea camilleri,il campo del vasaio,sellerio editore,giallo/thriller,italiano,1975,;
199,john le carre',la casa russia,mondadori,romanzo,italiano,2009,;
200,ken follett,i pilastri della terra,mondadori,romanzo storico,italiano,1992,;
201,anne b. radge,la casa delle bugie,neri pozza,romanzo,italiano,1975,;
202,andrea camilleri,un mese con montalbano,mondadori,giallo/thriller,italiano,2008,;
203,l. pechadre - y. roudy,il successo della donna,sansoni,saggio,italiano,1975,;
204,marion zimmer bradley,la torcia,mondadori,romanzo,italiano,1999,;
205,rosemary altea,una lunga scala fino al cielo,sperling,romanzo,italiano,1999,;
206,kossi komla,imbarazzismi,dell'arco,saggio,italiano,2008,;
207,steve martini,prova schiacciante,longanesi,giallo/thriller,italiano,1999,;
208,danielle steel,il viaggio,sperling,romanzo,italiano,2008,;
209,claudia rossi,prometterla a tutti non darla a nessuno,edizioni nuove,romanzo,italiano,2008,;
210,marco alemanno,dalla luce alla notte,bompiani,biografia,italiano,2002,;
211,john grisham,la convocazione,mondadori,giallo/thriller,italiano,2002,;
212,annamaria franzoni,la verita',piemme,biografia,italiano,2006,;
213,andrea camilleri,gli arancini di montalbano,mondadori,giallo/thriller,italiano,2006,;
214,pier bergonzi davide cassani ivan zazzaroni,pantani un eroe tragico,mondadori,biografia,italiano,2004,;
215,gianfranco fini,l'europa che verra',fazi,saggio storico,italiano,2004,;
216,vittorio bachelet,fede e politica,cooperativa culturale,saggi e inchieste,italiano,2004,;
217,wilbur smith,la volpe dorata,mondadori,romanzo,italiano,2004,;
218,m. grazia siliato,il mistero della sindone,piemme,saggio,italiano,1999,;
219,andrea camilleri,un covo di vipere,sellerio editore,giallo/thriller,italiano,1993,;
220,john milton,paradiso perduto,club degli editori,classico,italiano,1978,;
